Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler
1,1847,32.42,65.89,46.59,35.59,11.92,14.35,91.77,73.96,57.5,16.68,8.34,2.06,1.68,1.25,0.54,2.65,8.34,15.97,6.88,1.3,12.45,10.29,5.31,8.07,1.57,18.46,6.55,6.66,3.79,1.89,0.54,1.35,24.26,2.38,9.91,1.3,1.73,1.79,1.95,0.49,3.79,0,3.25,2.17,1.08,0.76,0.38,0.38,0.27,0,0.05,0,10.56,1.57,0.22,0.05,0.05,0.05,0.49,8.88,0,0,0.22,0.81,0.76,0.65,0,0.11,9.91,0.65,0.11,2.6,7.8,0,1.41,0.38,0.22,0,0.05,0,0,0.92,0,0.87,0.49,1.73,0.16,0.16,0,0.11,0.16,0,10.45,10.18,0.49,2.33,6.5,0.6,0.32,0.32,4.01,3.03,8.01,1.95,0.81,0.43,0.32,0.05,0
1,798,65.92,64.49,56.69,44.65,399,17.79,91.73,75.06,55.76,11.65,5.89,1,0.88,2.13,0,1.88,5.76,15.41,8.27,2.88,15.04,8.27,5.39,8.52,0.63,15.54,7.14,11.65,4.14,1.75,0.88,1.63,19.8,0.75,9.77,2.51,1.63,0.75,2.38,0.25,3.88,0,2.88,2.26,0.63,0,0,0,0,0,0,0,10.65,4.01,1,0.25,0.13,0,1.5,6.64,0,0,0,0.13,0.38,0.25,0,0.13,7.39,0.38,0,2.63,5.14,0,0.75,0.25,0.13,0,0,0,0,0.38,0,0.38,0.13,1.75,0.25,0.13,0,0.5,0.88,0.13,8.27,9.02,0.38,1.13,6.77,0.88,0.13,0.38,4.51,0.5,7.14,2.01,0.25,0.25,0,0,0
1,883,69.45,63.52,58.93,23.08,16.35,19.59,90.71,72.93,56.06,10.99,4.19,0,1.25,1.02,0,1.81,6.8,14.61,6.23,2.38,17.44,8.61,6.46,6.91,0.57,15.4,6.68,9.63,4.42,1.47,1.25,2.04,23.78,0.57,12.91,2.49,3.4,1.25,3.85,0.23,3.4,0,2.27,1.25,1.02,0.45,0.34,0.11,0,0,0,0,7.36,1.59,0.11,0,0,0,1.02,5.66,0.23,0,0,0.11,0.68,0.57,0.11,0,9.74,0,0.34,2.72,7.81,0,0.34,0,0,0,0,0,0,0.23,0,0.68,0.34,1.59,0,0,0,0.11,0.57,0.45,5.89,10.65,0.11,2.38,7.93,0.79,0,0.23,4.42,2.38,7.02,1.47,0.11,0,0.11,0,0
1,197,12.91,83.44,16.21,4.44,197,19.29,91.88,73.1,58.38,19.29,10.66,0.51,2.03,3.55,2.03,1.02,8.63,9.64,6.09,3.05,10.66,12.18,4.06,8.63,4.06,22.84,4.06,4.06,4.57,2.03,0,2.54,27.92,2.03,13.2,1.02,1.52,0.51,3.05,1.02,7.11,0,2.03,0,2.03,0,0,0,0,0,0,0,16.75,2.54,0,0,0,1.02,1.52,14.21,0,0,0,2.03,3.05,2.03,1.02,0,15.23,0,0,2.54,13.71,0,1.02,0.51,0.51,0,0,0,0,0,0,0,0.51,2.03,0,0.51,0,0,0.51,0,4.57,4.57,0,1.52,3.55,0.51,0,0,1.52,4.57,10.15,1.02,0,0,0,0,0
1,2786,52.43,74.61,43.31,23.4,2786,14.79,89.81,72.97,59.55,13.35,5.89,0.25,1.58,2.51,0.36,1.04,7.47,16.3,7.9,2.44,15.58,10.84,6.93,6.57,1.54,18.56,6.14,6.57,3.59,1.87,0.68,1.15,23.12,1.51,9.48,1.33,1.54,1.33,1.79,1.08,2.87,0,2.19,1.18,0.93,0.32,0.11,0.14,0.07,0.04,0.04,0,8.58,1.72,0.14,0.04,0.04,0.04,1.15,6.64,0.07,0.07,0.04,0.5,1.72,1.4,0,0.32,7.21,0.22,0.18,3.09,4.74,0.04,0.61,0.32,0.25,0,0.04,0,0,0.18,0.04,0.72,0.07,1.04,0.11,0.04,0.07,0.07,0.18,0.36,8.61,9.98,0.18,1.4,8.44,0.54,0,0.04,4.59,3.91,7,3.52,0.79,0.22,0.47,0.11,0
1,5705,64.31,35.54,68.58,28.42,33.76,21.35,84.01,70.36,57.42,10.76,3.72,0.58,1.35,1.17,0.07,0.51,7.05,18.95,9.89,2.12,13.37,9.27,6.52,6.85,1.58,14.44,8.01,6.84,2.72,1.52,0.6,0.63,24.5,1.03,13.3,2.8,1.65,1.93,2.63,0.6,4.5,0,1.21,0.91,0.3,0.14,0.14,0,0,0,0,0,5.03,1.61,0.11,0.07,0.07,0,1.05,3.35,0,0.04,0,0.11,0.16,0,0.04,0.12,1.4,0.05,0.4,0.53,0.46,0,0.28,0.04,0.04,0,0,0,0,0.04,0,0.21,0.11,0.28,0.07,0.11,0,0.04,0.07,0.21,6.26,12.5,0.56,1.4,8.43,1.58,0.84,0.35,5.07,3.31,5.82,1.26,0.04,0,0.04,0,0
1,3433,90.82,33.93,53.16,24.31,490.43,27.7,84.53,65.07,48.24,6.06,1.57,0.23,0.32,0.29,0.17,0.5,4.49,16.08,10.49,2.65,14.56,6.5,4.08,6.79,0.64,11.88,8.53,7.22,4.69,0.61,1.63,2.48,20.13,0.23,9.67,1.75,2.13,1.22,1.25,0.26,2.94,0.06,4.17,2.18,1.86,0.79,0.32,0.35,0.03,0,0.06,0,4.05,1.95,0.12,0.03,0.29,0.06,0.67,2.13,0.06,0.03,0,0.2,1.72,1.57,0.12,0.03,8.24,0.09,0.09,3.58,5.18,0.03,0.61,0.15,0.06,0.03,0.03,0,0,0.26,0,0.44,0.2,0.41,0.96,0.35,0.03,0.35,0.47,0.15,4.49,9.61,0.32,1.63,7.52,0.44,0.03,0.09,5.88,6.52,1.84,0.84,0.26,0.23,0.03,0,0
1,4827,41.94,70.26,56.33,44.43,603.38,16.93,94.61,76.69,57.45,14.5,7.4,1.43,1.1,2.88,0.17,1.57,7.11,14.81,8.18,1.57,12.91,10.5,6.13,8.04,1.16,19.2,7.02,8.37,6.11,1.26,0.79,4.06,24.45,1.16,11.97,2.63,1.8,1.7,2.22,0.66,4.08,0.04,3.98,2.78,1.16,0.5,0.15,0.33,0.04,0.02,0,0.02,10.11,1.99,0.06,0,0.12,0.08,0.75,7.91,0.1,0,0,0.21,1.28,1.24,0.02,0.02,10.05,0.02,1.49,1.04,8.72,0.04,0.48,0.25,0.25,0,0,0,0,0.02,0.02,0.79,0.27,1.37,0.27,0,0.1,0.33,0.41,0.21,9.78,9.14,0.04,2.26,6.86,0.6,0.02,0.15,3.6,2.09,7.87,2.32,0.62,0.02,0.17,0.44,0
1,1438,81.09,52.09,37.81,27.6,1438,21.7,88.73,68.29,53.48,8.83,3.48,0.56,0.63,1.25,0,0.97,5.35,16.48,10.99,0.9,14.33,7.02,5.84,7.93,0.63,13.63,6.05,5.91,4.1,0.9,0.97,2.5,19.82,1.25,9.94,2.16,2.16,1.6,1.74,0.42,2.78,0.07,1.95,1.25,0.7,0.42,0.21,0.21,0.07,0,0,0,6.47,2.23,0.35,0,0,0.07,1.18,4.1,0,0,0,0.07,0.49,0.42,0,0.07,11.82,0,0.07,4.17,9.87,0,0.63,0,0,0,0,0,0,0.56,0,0.56,0.49,1.32,0.42,0.42,0,0.28,0.14,0,5.84,9.81,0.14,1.04,8.28,0.42,0.07,0.14,3.2,2.02,6.12,1.11,0,0,0,0,0
1,2698,59.75,61.64,56.45,18.05,17.29,20.24,89.77,71.72,57.04,11.53,5.45,0.22,2.41,1.07,0.44,1.04,6.08,15.68,8.75,2.37,13.6,10.42,4.97,7.26,1.48,17.05,7.23,6.12,5.63,2.71,0.56,2.37,25.98,1.33,11.71,2.26,2.41,1.41,1.93,0.59,4.52,0,3.15,1.48,1.67,0.93,0.3,0.63,0.04,0.04,0.07,0,8.27,1.67,0,0,0.11,0.3,0.93,6.38,0,0.07,0.04,0.41,2.56,2.3,0.19,0.07,6.78,0.11,0.11,2,5.37,0,1.11,0.7,0.19,0.04,0.11,0.15,0,0.3,0.04,0.56,0.3,1.19,0.44,0.04,0,0.11,0.19,0.15,6.97,8.38,0.07,2,6.45,0.15,0.15,0.19,5.41,3.04,7.56,1.59,0.04,0,0.04,0,0
