video_id,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5
F0VaaZdH1x0,0.0010324459406842446,0.001022654882186876,0.0010304999091967785,0.0010343615818086593,0.4604647899583988,0.5354152477277246
5a9gWG8g_GY,0.006052739866548349,0.005953223183954104,0.005991167862184931,0.006022422634941168,0.006013944822104771,0.9699665016302667
Y2i7Ng6cEKY,0.0050808677206731915,0.0050510284666234195,0.005075343371967691,0.005123017152411902,0.9745830257124366,0.005086717575887196
GTECeK3lxr4,0.002750383521812157,0.002732540937642656,0.0027462957534173335,0.17220748802409835,0.0027640671908058514,0.8167992245722238
g5drje2nxkM,0.0005120284284977288,0.0005081903290608787,0.000511434053289136,0.0005127193124637137,0.9162012040589301,0.08175442381775841
0qDPJxXpNf4,0.0024700309052814165,0.0024512736939838868,0.002468793469731858,0.002466925291390704,0.0024697423652262195,0.9876732342743859
GFTKKyYSCKs,0.0008628714674614936,0.0008591947595478777,0.0008627853694584663,0.9956840643859544,0.0008651798655650645,0.0008659041520127442
mOGb9CKrS0g,0.006984125969070378,0.006944830672868694,0.9650981141647451,0.006984713588578203,0.0069905761904909035,0.006997639414246527
mNWdPTp9mX4,0.005412797974519416,0.0053768579929799245,0.005390161111315435,0.005414485451831573,0.9729933448566008,0.005412352612752775
H98D2Ew10Tk,0.0036553875634173895,0.0036236344199952735,0.003652044479138882,0.0036483580148685135,0.0036738378897113086,0.9817467376328687
TuluNRhhb0E,0.0006856116017690789,0.000680343367693005,0.0006840756611782433,0.9965761617685589,0.0006862217785766335,0.0006875858222240945
pTuocnl7hSE,0.006464445980053748,0.006411034796059126,0.006438189992716433,0.6994483592872659,0.27480485664122395,0.006433113302680907
XjRI0i2KC08,0.015191089185185686,0.015152489170796049,0.9240708965997089,0.015205390055776315,0.015204178103026489,0.0151759568855065
EjpJlPKS7vI,0.9939810550365641,0.0011990925461049038,0.0012033974983590616,0.0012054903883328486,0.0012058859112694653,0.001205078619369496
wkV8vXoiGzc,0.011280320026159049,0.011112901233972086,0.011130845158353466,0.011189940569877163,0.011150077875087379,0.9441359151365508
QQwifG33sTY,0.0009820625798698396,0.0009747752194694907,0.0009814905540042394,0.000983007940065967,0.20173557827219485,0.7943430854343956
zcIjkN9wM0U,0.0008846183808076132,0.0008772744745431259,0.0008813211854445324,0.0008858572380783387,0.0008826511786932646,0.9955882775424331
MSNBC,0.007275437490167494,0.007247293196290418,0.007279115850618945,0.9635827777485152,0.00729558501519431,0.007319790699213509
bF7whqPOhmk,0.004089954692555894,0.004065231657777672,0.9795710865754098,0.004088839423445051,0.004088213011241821,0.004096674639569682
QGRsfYKHVxc,0.9729843345230978,0.005376841967455808,0.005403428691543533,0.005401824008679254,0.005410496067630754,0.0054230747415927524
