topic,rank,video_id,weight
0,1,UZIFvCCSNcY,0.9989720343233437
0,2,dxmTJDFsbxM,0.9957392113897219
0,3,NBC News,0.9888279243497613
0,4,SNg81S3mBSU,0.812841624823929
0,5,S1YjuFfCqvU,0.4697115473230819
0,6,LJS3xyTcU7k,0.42525419205640336
0,7,Khou5Qz4A4E,0.38546628116755527
0,8,oRdLvp6H3CU,0.3534061887696285
0,9,XuQVNmU7FcY,0.3306900461759553
0,10,YD0qsufuf2E,0.32016408762495174
1,1,cfaubxeS5HU,0.9990761755532331
1,2,UbAKuCp8y98,0.7378428707076039
1,3,dGAFh0dCeDE,0.6003024900285164
1,4,Fvn2dxtByGs,0.20801010783893992
1,5,SNg81S3mBSU,0.1839572698659325
1,6,XuQVNmU7FcY,0.1680625557228811
1,7,S1YjuFfCqvU,0.15245092437111327
1,8,WGAGNKHVJ-c,0.11746824703577995
1,9,BmDRsJYWAHs,0.003406087458685298
1,10,YD0qsufuf2E,0.003186129490774172
2,1,CJUbXY5KqgU,0.9974886475977041
2,2,Fvn2dxtByGs,0.48171882659628973
2,3,UbAKuCp8y98,0.20937721796974473
2,4,dGAFh0dCeDE,0.19461535400061553
2,5,_qItQZEJQxQ,0.06755084309844066
2,6,BmDRsJYWAHs,0.003407633578873451
2,7,YD0qsufuf2E,0.0031826682513647364
2,8,4HmnJ5qstc8,0.001965741701028201
2,9,S1YjuFfCqvU,0.0018876892429898328
2,10,NBC News,0.0018616157940804005
3,1,AkMsMDk_brU,0.9975648686113063
3,2,7x8vIvwYzFg,0.9965339776737648
3,3,4HmnJ5qstc8,0.4000660371985654
3,4,oRdLvp6H3CU,0.15993907337103513
3,5,LJS3xyTcU7k,0.14755828328947734
3,6,S1YjuFfCqvU,0.11905277127373413
3,7,Khou5Qz4A4E,0.09894931122270649
3,8,Fvn2dxtByGs,0.008428055671698988
3,9,BmDRsJYWAHs,0.0034133977203242584
3,10,YD0qsufuf2E,0.0031834394638064877
4,1,XzY_SHNxWXQ,0.9986370302610253
4,2,XuQVNmU7FcY,0.45249537720182287
4,3,YD0qsufuf2E,0.2921280185327511
4,4,LJS3xyTcU7k,0.20963369137948304
4,5,WGAGNKHVJ-c,0.14147922562070414
4,6,Khou5Qz4A4E,0.12312123009039723
4,7,dGAFh0dCeDE,0.12058957619572684
4,8,oRdLvp6H3CU,0.058027998598111044
4,9,UbAKuCp8y98,0.016337347232543625
4,10,Fvn2dxtByGs,0.00845588107018323
5,1,R8VBRCs2jTU,0.9990187006365887
5,2,BmDRsJYWAHs,0.9795418570864094
5,3,4HmnJ5qstc8,0.5901108708441379
5,4,S1YjuFfCqvU,0.25312066041681747
5,5,_qItQZEJQxQ,0.23169780444978894
5,6,Khou5Qz4A4E,0.1542430556066863
5,7,dGAFh0dCeDE,0.08229435543034086
5,8,WGAGNKHVJ-c,0.07926432389321804
5,9,oRdLvp6H3CU,0.06615355508709875
5,10,LJS3xyTcU7k,0.05306116105371203
6,1,mEBU0QkhYNI,0.9976740340307547
6,2,dgmDcK5wssU,0.9969093167242421
6,3,dgmDcK5wssU,0.9969093167242421
6,4,47WQ8n6KPJU,0.9954978418447343
6,5,iMu1eVmuKHw,0.9932308571713513
6,6,WGAGNKHVJ-c,0.46192592679489414
6,7,_qItQZEJQxQ,0.38268609239871887
6,8,YD0qsufuf2E,0.37497210988095614
6,9,oRdLvp6H3CU,0.36146020251650585
6,10,Khou5Qz4A4E,0.23513234079346473
