video_id,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6
R8VBRCs2jTU,0.00016359590721968918,0.00016348340658943618,0.0001634153257374478,0.0001636606136727786,0.00016357233357382423,0.9990187006365887,0.0001635717766180533
oRdLvp6H3CU,0.3534061887696285,0.0005066266226709762,0.0005063550349497507,0.15993907337103513,0.058027998598111044,0.06615355508709875,0.36146020251650585
Khou5Qz4A4E,0.38546628116755527,0.0015495802241708985,0.0015382008950191233,0.09894931122270649,0.12312123009039723,0.1542430556066863,0.23513234079346473
XzY_SHNxWXQ,0.00022721421853555578,0.00022717390225521675,0.000227197591197591,0.000227100494543921,0.9986370302610253,0.0002271505326322988,0.00022713299981001053
XuQVNmU7FcY,0.3306900461759553,0.1680625557228811,0.00048111743640473243,0.0004817335721301166,0.45249537720182287,0.047307608253137214,0.00048156163766864454
_qItQZEJQxQ,0.31224999484538934,0.0019397776906577408,0.06755084309844066,0.0019352233888331857,0.001940264128171246,0.23169780444978894,0.38268609239871887
4HmnJ5qstc8,0.001966440471043259,0.0019643465778523958,0.001965741701028201,0.4000660371985654,0.001962054740882957,0.5901108708441379,0.0019645084664898387
AkMsMDk_brU,0.00040606291036556885,0.00040540537629403745,0.0004053949089534785,0.9975648686113063,0.00040580320024589906,0.0004066590496784238,0.0004058059431563119
dgmDcK5wssU,0.0005151008705425969,0.0005146605107987299,0.0005147246723012716,0.0005149808831672966,0.000515047589992843,0.0005161687489551557,0.9969093167242421
cfaubxeS5HU,0.00015400455370206316,0.9990761755532331,0.0001539691797328542,0.00015397110388809797,0.00015397102469626427,0.00015393982214259195,0.00015396876260521066
iMu1eVmuKHw,0.0011292661297013073,0.0011292139690685416,0.0011263316660399807,0.0011275515385179046,0.0011289733694157466,0.0011278061559052532,0.9932308571713513
BmDRsJYWAHs,0.0034109838056476938,0.003406087458685298,0.003407633578873451,0.0034133977203242584,0.003409310225996271,0.9795418570864094,0.0034107301240635713
dxmTJDFsbxM,0.9957392113897219,0.000709609510100091,0.0007095989426272703,0.0007104485043528659,0.0007103450028250097,0.0007101239304051912,0.0007106627199677354
Fvn2dxtByGs,0.2765387227143564,0.20801010783893992,0.48171882659628973,0.008428055671698988,0.00845588107018323,0.00841536386774754,0.008433042240784405
CJUbXY5KqgU,0.0004185225665983413,0.0004186782062245524,0.9974886475977041,0.0004185708250874706,0.0004186860213636599,0.000418489364011576,0.00041840541901016066
7x8vIvwYzFg,0.0005777499468003532,0.0005775401895333347,0.0005771281610914589,0.9965339776737648,0.0005779201555554057,0.0005777392131853598,0.000577944660069436
mEBU0QkhYNI,0.00038798487004194806,0.00038778320405100683,0.00038736295809274694,0.0003875691088325639,0.0003875977667644535,0.0003876680614626719,0.9976740340307547
YD0qsufuf2E,0.32016408762495174,0.003186129490774172,0.0031826682513647364,0.0031834394638064877,0.2921280185327511,0.0031835467553956017,0.37497210988095614
SNg81S3mBSU,0.812841624823929,0.1839572698659325,0.0006399050990818599,0.0006410689629638574,0.0006405236025947217,0.0006395186868223047,0.000640088958675788
UZIFvCCSNcY,0.9989720343233437,0.0001712497140180039,0.00017120269037412873,0.00017131377076862287,0.0001711869367476447,0.0001716161077372985,0.00017139645701046404
S1YjuFfCqvU,0.4697115473230819,0.15245092437111327,0.0018876892429898328,0.11905277127373413,0.0018897950401242196,0.25312066041681747,0.001886612332139405
LJS3xyTcU7k,0.42525419205640336,0.00042459329567772185,0.0004242117385060222,0.14755828328947734,0.20963369137948304,0.05306116105371203,0.16364386718674037
NBC News,0.9888279243497613,0.001867308053137939,0.0018616157940804005,0.0018594111090170023,0.0018593841300635157,0.0018617344549649755,0.0018626221089748773
47WQ8n6KPJU,0.0007509613975568835,0.0007505194565565157,0.0007492446076602374,0.0007502886146108495,0.0007505535009693703,0.0007505905779117133,0.9954978418447343
dGAFh0dCeDE,0.0007314081847629632,0.6003024900285164,0.19461535400061553,0.0007334269376724357,0.12058957619572684,0.08229435543034086,0.0007333892223647958
dgmDcK5wssU,0.0005151008705425969,0.0005146605107987299,0.0005147246723012716,0.0005149808831672966,0.000515047589992843,0.0005161687489551557,0.9969093167242421
UbAKuCp8y98,0.03432413363310172,0.7378428707076039,0.20937721796974473,0.0007057406927674592,0.016337347232543625,0.0007066466670795881,0.0007060430971588989
WGAGNKHVJ-c,0.19844245182256326,0.11746824703577995,0.0007095576765549027,0.0007102671562855294,0.14147922562070414,0.07926432389321804,0.46192592679489414
