topic,rank,video_id,weight
0,1,EjpJlPKS7vI,0.9939810550365641
0,2,QGRsfYKHVxc,0.9729843345230978
0,3,XjRI0i2KC08,0.015191089185185686
0,4,wkV8vXoiGzc,0.011280320026159049
0,5,MSNBC,0.007275437490167494
0,6,mOGb9CKrS0g,0.006984125969070378
0,7,pTuocnl7hSE,0.006464445980053748
0,8,5a9gWG8g_GY,0.006052739866548349
0,9,mNWdPTp9mX4,0.005412797974519416
0,10,Y2i7Ng6cEKY,0.0050808677206731915
1,1,XjRI0i2KC08,0.015152489170796049
1,2,wkV8vXoiGzc,0.011112901233972086
1,3,MSNBC,0.007247293196290418
1,4,mOGb9CKrS0g,0.006944830672868694
1,5,pTuocnl7hSE,0.006411034796059126
1,6,5a9gWG8g_GY,0.005953223183954104
1,7,mNWdPTp9mX4,0.0053768579929799245
1,8,QGRsfYKHVxc,0.005376841967455808
1,9,Y2i7Ng6cEKY,0.0050510284666234195
1,10,bF7whqPOhmk,0.004065231657777672
2,1,bF7whqPOhmk,0.9795710865754098
2,2,mOGb9CKrS0g,0.9650981141647451
2,3,XjRI0i2KC08,0.9240708965997089
2,4,wkV8vXoiGzc,0.011130845158353466
2,5,MSNBC,0.007279115850618945
2,6,pTuocnl7hSE,0.006438189992716433
2,7,5a9gWG8g_GY,0.005991167862184931
2,8,QGRsfYKHVxc,0.005403428691543533
2,9,mNWdPTp9mX4,0.005390161111315435
2,10,Y2i7Ng6cEKY,0.005075343371967691
3,1,TuluNRhhb0E,0.9965761617685589
3,2,GFTKKyYSCKs,0.9956840643859544
3,3,MSNBC,0.9635827777485152
3,4,pTuocnl7hSE,0.6994483592872659
3,5,GTECeK3lxr4,0.17220748802409835
3,6,XjRI0i2KC08,0.015205390055776315
3,7,wkV8vXoiGzc,0.011189940569877163
3,8,mOGb9CKrS0g,0.006984713588578203
3,9,5a9gWG8g_GY,0.006022422634941168
3,10,mNWdPTp9mX4,0.005414485451831573
4,1,Y2i7Ng6cEKY,0.9745830257124366
4,2,mNWdPTp9mX4,0.9729933448566008
4,3,g5drje2nxkM,0.9162012040589301
4,4,F0VaaZdH1x0,0.4604647899583988
4,5,pTuocnl7hSE,0.27480485664122395
4,6,QQwifG33sTY,0.20173557827219485
4,7,XjRI0i2KC08,0.015204178103026489
4,8,wkV8vXoiGzc,0.011150077875087379
4,9,MSNBC,0.00729558501519431
4,10,mOGb9CKrS0g,0.0069905761904909035
5,1,zcIjkN9wM0U,0.9955882775424331
5,2,0qDPJxXpNf4,0.9876732342743859
5,3,H98D2Ew10Tk,0.9817467376328687
5,4,5a9gWG8g_GY,0.9699665016302667
5,5,wkV8vXoiGzc,0.9441359151365508
5,6,GTECeK3lxr4,0.8167992245722238
5,7,QQwifG33sTY,0.7943430854343956
5,8,F0VaaZdH1x0,0.5354152477277246
5,9,g5drje2nxkM,0.08175442381775841
5,10,XjRI0i2KC08,0.0151759568855065
