topic,rank,word,weight
0,1,inflation,311.8244729611958
0,2,percent,95.80277064284503
0,3,rate,93.99250614302726
0,4,gold,81.74605054146141
0,5,bonds,73.83324987895217
0,6,economy,68.40494185641919
0,7,look,64.34045373000244
0,8,bond,59.24671982228682
0,9,year,57.4339837050475
0,10,rates,56.596334502014
0,11,time,53.64995269330363
0,12,number,52.0664359030579
0,13,government,50.66887244350182
0,14,currency,50.46318821601475
0,15,market,48.390268466724095
1,1,inflation,28.064389340763224
1,2,prices,24.72658165546354
1,3,costs,18.95060523320598
1,4,cost,13.172703039594753
1,5,stage,12.248326261696013
1,6,pay,9.309483299039414
1,7,plans,9.250747068388897
1,8,price,9.11158253593149
1,9,year,8.64195642288007
1,10,percent,8.253459109709178
1,11,profits,8.039668070116571
1,12,companies,7.995244577059583
1,13,paying,7.476293510823012
1,14,money,7.332549663361671
1,15,people,6.47022451771399
2,1,universe,155.24999932051472
2,2,inflation,128.04298426383272
2,3,big,63.943311704831785
2,4,big bang,51.249999071868636
2,5,bang,51.249999071868636
2,6,field,47.24835367368653
2,7,point,43.21845398719429
2,8,space,34.196632506485216
2,9,theory,32.00238578100162
2,10,energy,25.119515545899095
2,11,model,24.251249993927715
2,12,small,22.644364628458053
2,13,supply,22.262363870605498
2,14,expansion,21.690544882642026
2,15,time,20.275450336402802
3,1,inflation,634.0681534342012
3,2,money,451.58411891368837
3,3,people,228.70674436987414
3,4,prices,214.35148044896576
3,5,government,148.78325954257204
3,6,rates,147.9024985604522
3,7,supply,136.29978576713833
3,8,price,123.1452356122333
3,9,economy,120.07438192542746
3,10,goods,108.19976299257658
3,11,demand,104.06692700839528
3,12,time,94.71550298899251
3,13,bank,94.40621768352544
3,14,increase,91.53088286224236
3,15,rate,90.13978614925242
