video_id,Influencer/Mainstream,neg,neu,pos,compound,emo_anger,emo_anticipation,emo_disgust,emo_fear,emo_joy,emo_sadness,emo_surprise,emo_trust,emo_shannon_norm,emo_gini_simpson
0jxjT-Pq1X0,1.0,0.038,0.877,0.086,0.7825,0.07142857142857142,0.14285714285714285,0.03571428571428571,0.14285714285714285,0.07142857142857142,0.0,0.10714285714285714,0.42857142857142855,0.7956130988904236,0.7525510204081632
0qDPJxXpNf4,3.0,0.026,0.88,0.093,0.9629,0.0,0.18518518518518517,0.0,0.18518518518518517,0.18518518518518517,0.07407407407407407,0.09259259259259259,0.2777777777777778,0.8203276719854435,0.8058984910836762
1O3fHAsdjNg,1.0,0.089,0.826,0.085,-0.727,0.11715481171548117,0.18410041841004185,0.02092050209205021,0.16736401673640167,0.13389121338912133,0.06694560669456066,0.1192468619246862,0.1903765690376569,0.9437342430503178,0.8510617811312827
3I81-P_lwvw,1.0,0.057,0.808,0.135,0.9936,0.13392857142857142,0.16071428571428573,0.044642857142857144,0.07142857142857142,0.19642857142857142,0.07142857142857142,0.13392857142857142,0.1875,0.9529838732542358,0.852359693877551
3qj_TyK4UQ0,1.0,0.028,0.909,0.063,0.2341,0.17391304347826086,0.17391304347826086,0.0,0.08695652173913043,0.17391304347826086,0.0,0.17391304347826086,0.21739130434782608,0.8468447031141231,0.8241965973534972
465sKRS_4M0,1.0,0.0668141592920354,0.8692035398230088,0.06395575221238939,0.021621238938053098,0.0459940747551367,0.13575674571249793,0.008246178600160902,0.06903708386009272,0.06422282240866312,0.05818296747500287,0.047050466740732225,0.13788134186364276,0.20541914168322276,0.2290184416824554
47WQ8n6KPJU,2.0,0.064,0.865,0.072,0.1911,0.07692307692307693,0.13675213675213677,0.017094017094017096,0.2564102564102564,0.08547008547008547,0.15384615384615385,0.05128205128205128,0.2222222222222222,0.9005626514506878,0.8263569289210315
4HmnJ5qstc8,2.0,0.097,0.795,0.108,0.4497,0.15625,0.09375,0.03125,0.28125,0.09375,0.0625,0.0625,0.21875,0.9031226568109606,0.822265625
5a9gWG8g_GY,3.0,0.0208125,0.970625,0.0085625,-0.01975,0.028125,0.2572916666666667,0.015625,0.140625,0.13229166666666667,0.015625,0.13749999999999998,0.02291666666666667,0.29333487357971827,0.34774305555555557
7x8vIvwYzFg,2.0,0.030054545454545455,0.8553090909090909,0.11465454545454545,0.21891818181818182,0.016233766233766232,0.06017316017316017,0.004545454545454545,0.15125541125541125,0.055757575757575756,0.048051948051948054,0.05757575757575758,0.2973160173160173,0.14341739439408255,0.18558503401360543
7xPEuoNdFNY,1.0,0.042,0.934,0.024,-0.513,0.15789473684210525,0.10526315789473684,0.10526315789473684,0.21052631578947367,0.0,0.10526315789473684,0.10526315789473684,0.21052631578947367,0.9115041272502571,0.8421052631578947
867AUDQ9DQc,1.0,0.03390740740740741,0.9042222222222223,0.061870370370370374,0.08279444444444443,0.05187389770723104,0.1654541446208113,0.006790123456790124,0.2471413874191652,0.04546590241034685,0.029754556143445035,0.02824074074074074,0.11046443268665491,0.2421242736219805,0.27085304046172654
AkMsMDk_brU,2.0,0.03886274509803921,0.8567450980392157,0.10437254901960785,0.21547254901960786,0.11774042950513539,0.06554621848739495,0.01045751633986928,0.10826330532212886,0.049206349206349205,0.07175536881419234,0.021008403361344536,0.32072829131652664,0.21836386485784828,0.2794079854163888
BmDRsJYWAHs,2.0,0.048,0.778,0.174,0.9436,0.09090909090909091,0.18181818181818182,0.0,0.045454545454545456,0.2727272727272727,0.0,0.09090909090909091,0.3181818181818182,0.7719126689589452,0.7727272727272727
Bx3njJl-13s,1.0,0.023,0.915,0.062,0.8393,0.06060606060606061,0.2727272727272727,0.0,0.18181818181818182,0.12121212121212122,0.030303030303030304,0.09090909090909091,0.24242424242424243,0.845161802215735,0.8062442607897153
CJUbXY5KqgU,2.0,0.037,0.868,0.095,0.9974,0.0625,0.1527777777777778,0.041666666666666664,0.1111111111111111,0.125,0.1527777777777778,0.08333333333333333,0.2708333333333333,0.9351995888891227,0.8394097222222222
D9GF1DJjdz0,1.0,0.033,0.916,0.052,0.3506,0.041666666666666664,0.20833333333333334,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.08333333333333333,0.125,0.25,0.8965993966936628,0.8229166666666667
DFCslu5jVKo,1.0,0.033,0.885,0.082,0.999,0.12169312169312169,0.08465608465608465,0.037037037037037035,0.2857142857142857,0.07936507936507936,0.1111111111111111,0.06349206349206349,0.21693121693121692,0.9123197118285078,0.8252848464488676
EjpJlPKS7vI,3.0,0.10768000000000001,0.82748,0.0648,0.0055879999999999905,0.03624875621890547,0.126636815920398,0.010597014925373134,0.31787064676616916,0.02298507462686567,0.10631840796019901,0.030318407960199006,0.06902487562189055,0.24372560914948962,0.2803459518328754
F0VaaZdH1x0,3.0,0.05853030303030303,0.8726515151515152,0.06881818181818182,0.05316212121212121,0.12741702741702743,0.086002886002886,0.005555555555555556,0.15707070707070708,0.06327561327561328,0.05858585858585859,0.008225108225108226,0.08477633477633477,0.12268996593682666,0.14638425066996494
Fvn2dxtByGs,2.0,0.049,0.863,0.087,0.2846,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.33333333333333337,0.5
GFTKKyYSCKs,3.0,0.065125,0.85009375,0.08475,0.105146875,0.083912355006105,0.10072592338217339,0.0,0.16217376373626374,0.09871890262515262,0.10081845238095238,0.05404075091575092,0.24335985195360194,0.4937347389060813,0.5258758194750067
GTECeK3lxr4,3.0,0.126,0.811,0.063,-0.8934,0.03225806451612903,0.16129032258064516,0.03225806451612903,0.25806451612903225,0.0,0.12903225806451613,0.06451612903225806,0.3225806451612903,0.8037759591256204,0.7804370447450573
GcaiTZKlCj4,1.0,0.0538,0.79,0.1562,0.93384,0.13322605450505398,0.16257602760601503,0.011131331513497118,0.15933321378204915,0.13263983994887338,0.09156161282062067,0.10684074661990883,0.20269117320398178,0.9025026758039327,0.8377472651086487
H98D2Ew10Tk,3.0,0.083,0.883,0.033,-0.7003,0.04,0.08,0.0,0.52,0.04,0.16,0.0,0.16,0.6665425121137857,0.6688
I7nPzjvIhiI,1.0,0.048,0.802,0.15,1.0,0.08536585365853659,0.1676829268292683,0.03353658536585366,0.19359756097560976,0.14939024390243902,0.057926829268292686,0.053353658536585365,0.25914634146341464,0.9120620147895372,0.830313987209994
KZJm-Bt4rSs,1.0,0.064,0.835,0.1,0.9983,0.11491442542787286,0.1491442542787286,0.044009779951100246,0.17114914425427874,0.1198044009779951,0.09046454767726161,0.09046454767726161,0.2200488997555012,0.958948819521616,0.8541794943837017
Khou5Qz4A4E,2.0,0.038,0.856,0.106,0.9592,0.041666666666666664,0.25,0.0,0.16666666666666666,0.1875,0.020833333333333332,0.125,0.20833333333333334,0.8458352018040295,0.8133680555555556
L92eadRu6zE,1.0,0.062,0.809,0.129,0.9997,0.05555555555555555,0.13756613756613756,0.0291005291005291,0.18783068783068782,0.13756613756613756,0.09523809523809523,0.07407407407407407,0.2830687830687831,0.912431429529309,0.8282522885697489
LBjgDBd5qNI,1.0,0.0,0.9176666666666667,0.08233333333333333,0.19308333333333336,0.0,0.10317460317460318,0.047619047619047616,0.21428571428571427,0.1865079365079365,0.13095238095238096,0.047619047619047616,0.10317460317460318,0.5110929080464647,0.5634920634920636
LJS3xyTcU7k,2.0,0.082,0.877,0.041,-0.9933,0.109375,0.15625,0.046875,0.203125,0.11979166666666667,0.109375,0.07291666666666667,0.18229166666666666,0.96024121436406,0.8553059895833334
LSPaFHxu3K4,1.0,0.147,0.722,0.131,0.0516,0.02702702702702703,0.10810810810810811,0.02702702702702703,0.08108108108108109,0.35135135135135137,0.24324324324324326,0.10810810810810811,0.05405405405405406,0.8410796907864204,0.7830533235938641
Lql8bNv_6MU,1.0,0.086,0.827,0.087,0.2748,0.13636363636363635,0.13636363636363635,0.0,0.13636363636363635,0.13636363636363635,0.18181818181818182,0.13636363636363635,0.13636363636363635,0.9330025848036324,0.8553719008264462
MSNBC,3.0,0.018,0.795,0.187,0.9805,0.1,0.1,0.0,0.05,0.15,0.0,0.15,0.45,0.7399910313406582,0.73
MlSkdslNZVc,1.0,0.046,0.832,0.122,0.9997,0.045454545454545456,0.13286713286713286,0.013986013986013986,0.22727272727272727,0.12237762237762238,0.11538461538461539,0.07692307692307693,0.26573426573426573,0.8948746322394447,0.8236099564770893
MpsTYYgMmKY,1.0,0.02,0.885,0.095,0.9959,0.041237113402061855,0.14432989690721648,0.010309278350515464,0.30927835051546393,0.09278350515463918,0.061855670103092786,0.020618556701030927,0.31958762886597936,0.7974662311882765,0.766712721862047
NBC News,2.0,0.04,0.767,0.193,0.9964,0.043478260869565216,0.21739130434782608,0.0,0.15217391304347827,0.1956521739130435,0.0,0.06521739130434782,0.32608695652173914,0.7777211096092296,0.77882797731569
OwH9dTJTkZk,1.0,0.01,0.906,0.084,0.9955,0.0,0.2727272727272727,0.01818181818181818,0.2,0.09090909090909091,0.09090909090909091,0.05454545454545454,0.2727272727272727,0.8166069704215356,0.7914049586776859
QGRsfYKHVxc,3.0,0.0,0.956,0.044,0.7096,0.0,0.1111111111111111,0.0,0.1111111111111111,0.3333333333333333,0.0,0.0,0.4444444444444444,0.5842384263265683,0.6666666666666666
QQwifG33sTY,3.0,0.05131707317073171,0.8612926829268294,0.08741463414634147,0.0962829268292683,0.046747967479674794,0.14657375145180024,0.0,0.27752613240418117,0.08008130081300813,0.046747967479674794,0.041463414634146344,0.2632984901277584,0.2477438938638699,0.32238537691499364
Qx3YMdcLTZo,1.0,0.061,0.863,0.076,0.9766,0.10714285714285714,0.16964285714285715,0.0,0.1875,0.11160714285714286,0.07142857142857142,0.044642857142857144,0.3080357142857143,0.8602767143528216,0.8101482780612245
R8VBRCs2jTU,2.0,0.059666666666666666,0.7896666666666666,0.15066666666666664,0.9295666666666667,0.07344931436626938,0.14739523260284507,0.03250352428553121,0.1649846212995002,0.17196911444316287,0.11308150711264897,0.05132641291810842,0.24529027297193387,0.8980786697063938,0.8271302609855938
S1YjuFfCqvU,2.0,0.042,0.816,0.142,0.9836,0.08333333333333333,0.16666666666666666,0.041666666666666664,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.20833333333333334,0.9294400630353333,0.8368055555555556
SNg81S3mBSU,2.0,0.047,0.848,0.105,0.9912,0.050505050505050504,0.10101010101010101,0.0,0.3333333333333333,0.12121212121212122,0.09090909090909091,0.06060606060606061,0.24242424242424243,0.8347293871463726,0.7907356392204877
Sg2Xqd8kx_U,1.0,0.115,0.782,0.103,-0.9989,0.09666666666666666,0.14,0.035555555555555556,0.18777777777777777,0.09444444444444444,0.11666666666666667,0.07222222222222222,0.25666666666666665,0.9359182027863738,0.8409061728395062
TuluNRhhb0E,3.0,0.113,0.816,0.071,-0.9893,0.16141732283464566,0.1377952755905512,0.07480314960629922,0.13385826771653545,0.1141732283464567,0.07086614173228346,0.10236220472440945,0.2047244094488189,0.9733367669292767,0.8609957219914439
UZIFvCCSNcY,2.0,0.038922222222222226,0.8770444444444444,0.08403333333333333,0.1408711111111111,0.03235890652557319,0.11022825939492606,0.015712250712250714,0.15403269569936237,0.07257970424637092,0.028898385565052233,0.016783000949667615,0.3138512413512414,0.24149528918575078,0.2900134963620922
UbAKuCp8y98,2.0,0.04,0.807,0.153,0.9985,0.03875968992248062,0.20930232558139536,0.046511627906976744,0.08527131782945736,0.17054263565891473,0.05426356589147287,0.06976744186046512,0.32558139534883723,0.8737146079413427,0.8023556276666066
VEZsgAgYDhw,1.0,0.03955238095238095,0.8645111111111112,0.09593015873015873,0.1142415873015873,0.05545236949998855,0.10626382876382875,0.006729024943310657,0.16366024187452757,0.05533263473739664,0.04341871091871091,0.044682596944501704,0.19430186215900502,0.27669589289404534,0.31779479793542614
Vh5FmZRjBpo,1.0,0.038,0.847,0.115,0.9997,0.057065217391304345,0.1875,0.02717391304347826,0.21195652173913043,0.16304347826086957,0.08695652173913043,0.057065217391304345,0.20923913043478262,0.9150983941706808,0.8347412570888468
WGAGNKHVJ-c,2.0,0.01,0.871,0.119,0.9965,0.05952380952380952,0.23809523809523808,0.0,0.21428571428571427,0.15476190476190477,0.05952380952380952,0.05952380952380952,0.21428571428571427,0.862953030970638,0.8168934240362812
WVAn0DW2asI,1.0,0.06305369127516779,0.8271812080536913,0.10978523489932886,0.11250536912751678,0.07140557056664439,0.09040016657466321,0.022334563274160592,0.1393050834326002,0.039646464646464645,0.05391256767095693,0.027571012134770524,0.2601225582769207,0.27883123754035194,0.317669405182443
XDHCF57Jc1w,1.0,0.0,0.935,0.065,0.765,0.07317073170731707,0.17073170731707318,0.0,0.17073170731707318,0.21951219512195122,0.024390243902439025,0.0975609756097561,0.24390243902439024,0.8605948765570494,0.8185603807257584
XjRI0i2KC08,3.0,0.053,0.917,0.03,-0.1734,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333,0.6394319446848299,0.7222222222222222
XuQVNmU7FcY,2.0,0.085,0.782,0.133,0.995,0.12077294685990338,0.13043478260869565,0.03864734299516908,0.20772946859903382,0.16908212560386474,0.07246376811594203,0.0966183574879227,0.1642512077294686,0.9552391069564057,0.8536021844150389
XzY_SHNxWXQ,2.0,0.041319999999999996,0.87492,0.08376,0.11223066666666667,0.04819567099567099,0.09931890331890332,0.022723232323232326,0.13521991341991343,0.11196334776334775,0.04553535353535353,0.03886233766233766,0.1515145743145743,0.2953226853684066,0.32522278839102214
Y2i7Ng6cEKY,3.0,0.043,0.864,0.093,0.8024,0.1111111111111111,0.08888888888888889,0.044444444444444446,0.2,0.13333333333333333,0.044444444444444446,0.06666666666666667,0.3111111111111111,0.8994577217194141,0.8167901234567901
YD0qsufuf2E,2.0,0.038,0.858,0.104,0.8932,0.0967741935483871,0.12903225806451613,0.0,0.25806451612903225,0.16129032258064516,0.06451612903225806,0.06451612903225806,0.22580645161290322,0.8770330450644045,0.822060353798127
ZHujeMCtZFI,1.0,0.03,0.779,0.19,0.9617,0.05,0.3,0.0,0.05,0.2,0.05,0.15,0.2,0.8362316565209474,0.8
ZLv636OxgL4,1.0,0.03,0.868,0.102,0.9976,0.10784313725490197,0.17647058823529413,0.0,0.2647058823529412,0.08823529411764706,0.0392156862745098,0.049019607843137254,0.27450980392156865,0.8377389581263937,0.800076893502499
ZY_A0cWA7_0,1.0,0.0,0.874,0.126,0.7964,0.0625,0.1875,0.0,0.25,0.125,0.0625,0.0625,0.25,0.8592731770382611,0.8125
Zi4KMCQuQYE,1.0,0.07,0.814,0.116,0.9871,0.11363636363636363,0.13636363636363635,0.022727272727272728,0.23863636363636365,0.09090909090909091,0.14772727272727273,0.045454545454545456,0.20454545454545456,0.9196519668272912,0.8370351239669421
ZrLBM7E7pc4,1.0,0.057999999999999996,0.8305,0.11149999999999999,0.944,0.0710691823899371,0.18322851153039832,0.04664570230607966,0.18878406708595388,0.1310272536687631,0.09329140461215932,0.04109014675052411,0.24486373165618447,0.9211132323020249,0.8351890528240355
_qItQZEJQxQ,2.0,0.139,0.743,0.117,-0.7576,0.14583333333333334,0.125,0.020833333333333332,0.25,0.125,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.933247330297948,0.8428819444444444
