topic,rank,word,weight
0,1,inflation,0.05107710987847117
0,2,rate,0.04145324230892853
0,3,money,0.04002876769579019
0,4,that's,0.03159797266367435
0,5,interest,0.0313007515350516
0,6,bond,0.027791801622415832
0,7,people,0.027575611468431436
0,8,price,0.027192303419470903
0,9,get,0.02574592755293043
0,10,one,0.024949580293418618
0,11,right,0.024777729993933715
0,12,supply,0.024004704320528505
1,1,inflation,0.09597070471608152
1,2,price,0.07339355929712775
1,3,measure,0.05662788577822331
1,4,cpi,0.05268673443319861
1,5,also,0.04280022572950683
1,6,good,0.039544033022946734
1,7,cost,0.03895154888667761
1,8,increase,0.03718280359603574
1,9,consumer,0.034892313494939466
1,10,rate,0.0318802900561308
1,11,basket,0.029139880072549786
1,12,index,0.027273704213550524
2,1,inflation,0.04828452548307512
2,2,money,0.03331892466984461
2,3,price,0.03258653313696871
2,4,economy,0.030441187419796144
2,5,country,0.030017939520333978
2,6,rate,0.027278106577925277
2,7,gold,0.02697731485652608
2,8,currency,0.02691553925354007
2,9,dollar,0.02619175751938526
2,10,would,0.025745333453915
2,11,government,0.02286937951901242
2,12,policy,0.02075079331802032
3,1,inflation,0.06176516854650376
3,2,price,0.047927518694370765
3,3,government,0.03708868441588774
3,4,money,0.03428728417671486
3,5,cost,0.034084468461917955
3,6,year,0.033935781605637115
3,7,one,0.031030484728795184
3,8,tax,0.031000596391132337
3,9,medicare,0.029793435572635182
3,10,cure,0.02952038477735848
3,11,drug,0.02841091213286175
3,12,part,0.025938623583930908
4,1,money,0.1500114249459449
4,2,value,0.09421907339854464
4,3,apple,0.07189802411332312
4,4,dollar,0.06514619502198152
4,5,inflation,0.0594766399821918
4,6,make,0.04682894248141517
4,7,carrot,0.044911843282787856
4,8,buy,0.04094585696935526
4,9,bill,0.0390244863031512
4,10,go,0.03848620724150509
4,11,people,0.038115257818144746
4,12,island,0.03801521332313385
