Linguistic Feature,Difference_pct,MannWhitney_p,MannWhitney_sig,MannWhitney_U,Welch_t,Welch_p,Welch_d,Welch_sig,n_cat1,n_cat2
Analytic,-15.75%,0.09824522200041808,,575.0,-1.7950034985105017,0.07711459095647635,-0.4032973473838282,,53,28
Clout,-7.52%,0.9564426981624674,,736.0,0.039511585690271744,0.9685918949234742,0.008752929851479657,,53,28
Authentic,+9.36%,0.869847240175876,,725.0,-0.5285982210215153,0.5990705145562589,-0.12202812845328419,,53,28
Tone,+5.10%,0.4832582957691893,,658.0,-0.3074395191912318,0.7594573900404009,-0.06948391849350533,,52,28
WPS,+11.93%,0.7847835507404554,,770.0,1.256024684222427,0.21280902531669402,0.26662190845458156,,53,28
BigWords,-0.69%,0.5883608357961968,,687.0,0.40256782070465974,0.6884398948589656,0.08234336559464825,,53,28
Dic,+0.73%,0.4069925062012021,,826.0,0.8713576189285673,0.3867548418616382,0.19730595080260735,,53,28
Linguistic,+4.30%,0.19671273561089597,,872.5,1.354545784813809,0.17988621358491821,0.30158870988304315,,53,28
function,+6.86%,0.032348809802947145,*,958.0,0.9528003616958257,0.34362090398405953,0.20456358915102563,,53,28
pronoun,+15.77%,0.1555869345824971,,885.5,1.644881817054785,0.10454094694962156,0.36804211298487516,,53,28
ppron,+9.49%,0.1376423033413947,,892.0,1.9256806858939086,0.05785891044579,0.41859766363137435,,53,28
i,+28.57%,0.4494261946792788,,818.0,1.3923880250208958,0.16771258164917643,0.29480515512681266,,53,28
we,+6.86%,0.8187608075117518,,718.5,-0.09267727951470511,0.9264625177082747,-0.021242669642800475,,53,28
you,+16.73%,0.14979219997562485,,887.5,2.289776088138411,0.02470416523569836,0.4868522352787628,*,53,28
shehe,+0.00%,0.5097942785488394,,800.0,0.9245949083460969,0.3581169440141474,0.20186603306309475,,53,28
they,-10.00%,0.4891656180779135,,672.0,-0.20727352902601265,0.8363607569888458,-0.04545469246641195,,53,28
ipron,+13.43%,0.5283055998283765,,806.0,0.6000163554106777,0.5502790903657155,0.1307479470895338,,53,28
det,+8.61%,0.03194778559236326,*,958.5,1.509726102393962,0.13510704803745419,0.31882942847358475,,53,28
article,-1.03%,0.5218217631829319,,677.0,-0.5444641856271831,0.5877279076985362,-0.11898276668099685,,53,28
number,+36.78%,0.20720474369483455,,869.5,1.887849225265402,0.06288313158106075,0.41223360137200343,,53,28
prep,-4.81%,0.2812691213232118,,633.0,-1.3449263721323348,0.18282800335790803,-0.29713710753627837,,53,28
auxverb,+5.44%,0.815462082682469,,766.0,-0.2705084425811653,0.7874966815762189,-0.05878148826432264,,53,28
adverb,+3.00%,0.7095915390133933,,780.0,0.545879890507517,0.5874212979342656,0.12822297847878988,,53,28
conj,+5.12%,0.6985285951857059,,781.5,-0.4313097237650251,0.667488463294799,-0.09463194720023722,,53,28
negate,+62.30%,0.010302503119856657,*,1000.5,2.8462500629106082,0.00572241494937649,0.5835977938798903,**,53,28
verb,+0.09%,0.9920765936370993,,740.5,-0.23957173009094682,0.8113560043435613,-0.053318394304625,,53,28
adj,-6.25%,0.401389351230374,,657.0,0.551148615612786,0.5831792368670146,0.11328141092808601,,53,28
quantity,-10.67%,0.33293204093485307,,644.0,-0.6431275219392132,0.5225863600862423,-0.14790654318766416,,53,28
Drives,-8.59%,0.14847745886891975,,596.0,-2.2316218024764547,0.02978936339161306,-0.522707749974467,*,53,28
affiliation,+17.50%,0.842448198924715,,721.5,-0.2651488633426536,0.7917648098718554,-0.060507043966384774,,53,28
achieve,-23.66%,0.06548315761449855,,556.5,-2.3652217195011125,0.023653406689058225,-0.5984748838833187,*,53,28
power,-23.55%,0.06657964726766362,,557.0,-1.6390268013975835,0.10577616607528484,-0.36705867053885183,,53,28
Cognition,+4.50%,0.2924950075993915,,848.5,0.3055194132267089,0.760831728605653,0.06724939393716661,,53,28
allnone,+58.62%,0.0027329238441816763,**,1044.0,3.3974003451314885,0.0011184030887160753,0.6903272910531507,**,53,28
cogproc,-3.37%,0.7393732588976692,,708.0,-0.43100546846161614,0.6681768302748727,-0.10101288070642632,,53,28
insight,-0.25%,0.9920763699489556,,743.5,0.09115596493775714,0.9276899129658427,0.02118738817035064,,53,28
cause,+3.76%,0.6160117574068789,,691.0,-0.2322018129640754,0.8171373948239218,-0.05298425765324067,,53,28
discrep,+14.18%,0.869748080385818,,759.0,-0.3715949121191868,0.7117512803764431,-0.08816268278290731,,53,28
tentat,-9.05%,0.6549248142031998,,696.5,-0.37716446848455365,0.7073509420780912,-0.08639406828515048,,53,28
certitude,-29.41%,0.12198114427093763,,586.5,-1.5394398732500436,0.13008528340388506,-0.36661627676580344,,53,28
differ,+7.86%,0.3609043407322423,,834.5,0.6832396124172311,0.4968123108442055,0.15387515348096745,,53,28
memory,+0.00%,0.6273199606920874,,701.5,-0.18420090871791533,0.8543487121005233,-0.040214532164080684,,53,28
Affect,-5.97%,0.36879290886055216,,651.0,-0.5855925128513797,0.5599262066723009,-0.12864591407556797,,53,28
tone_pos,-12.11%,0.10022394007019231,,576.0,-0.3762587778912558,0.7077785707509541,-0.07763681167907244,,53,28
tone_neg,-19.35%,0.6614836843689627,,697.5,-0.4349879798121684,0.6655519936558808,-0.1043808639662109,,53,28
emotion,+5.26%,0.9960255037002576,,741.0,0.7354884418709724,0.46425212919557146,0.15859037779401497,,53,28
