Linguistic Feature,Difference_pct,p_value,Significance,median_cat1,median_cat2,U_stat,n_cat1,n_cat2
lack,+0.00%,0.8357662593234094,,0.0,0.0,722.5,53,28
fulfill,-100.00%,0.6509422258561779,,0.0,0.04,699.0,53,28
fatigue,+0.00%,1.0,,0.0,0.0,742.5,53,28
reward,-24.14%,0.535066393226385,,0.11,0.14500000000000002,681.0,53,28
risk,-54.93%,0.05562415917038694,,0.16,0.355,551.0,53,28
curiosity,+175.00%,0.2064581613173162,,0.11,0.04,864.0,53,28
allure,+7.01%,0.735629258684254,,6.72,6.279999999999999,776.5,53,28
Perception,-8.73%,0.02295842273359676,*,8.99,9.850000000000001,512.5,53,28
attention,+4.62%,0.9480713126726811,,0.34,0.325,735.0,53,28
motion,-35.10%,0.0003493578937941451,***,1.59,2.45,381.5,53,28
space,-5.04%,0.2181456697953693,,6.5,6.845000000000001,617.5,53,28
visual,+1.89%,0.6032242176695872,,0.54,0.53,794.5,53,28
auditory,-84.62%,0.417291448157565,,0.02,0.13,663.5,53,28
feeling,-61.54%,0.0375924278605216,*,0.1,0.26,536.5,53,28
time,+2.15%,1.0,,4.51,4.415,742.0,53,28
focuspast,+14.42%,0.8776293615858846,,2.38,2.08,758.0,53,28
focuspresent,-0.64%,0.8464513007532533,,7.02,7.0649999999999995,762.0,53,28
focusfuture,-25.85%,0.08107540989542841,,1.52,2.05,566.0,53,28
Conversation,-25.00%,0.9028969156566294,,0.21,0.28,754.5,53,28
netspeak,+0.00%,0.8350751771194006,,0.0,0.0,761.0,53,28
assent,+0.00%,0.3509123852635466,,0.0,0.0,828.0,53,28
nonflu,+0.00%,0.34235463477076944,,0.0,0.0,659.5,53,28
filler,+0.00%,0.20784099476193196,,0.0,0.0,784.0,53,28
