DV,Levene_stat,Levene_p,ANOVA_F,ANOVA_df1,ANOVA_df2,ANOVA_p,eta2,partial_eta2,Shapiro_W_resid,Shapiro_p_resid
narrativity_overall,2.818,0.06518620070950784,0.8740106808659637,2,87,0.4209058309610134,0.0197,0.0197,0.9895348949936129,0.6968993322747923
narrativity_staging,0.1762,0.8387386078993354,0.7684639610151984,2,87,0.4668463558924274,0.0174,0.0174,0.94582091019142,0.0009324519663573793
narrativity_plotprog,0.9423,0.39367618853197117,1.3601825071036358,2,87,0.2620158758662191,0.0303,0.0303,0.9690182668625453,0.030171665245813543
narrativity_cogtension,0.7481,0.476276221089846,2.221433507620698,2,87,0.11456968180056396,0.0486,0.0486,0.9870819787339515,0.5203645780436912
