group1,group2,meandiff,p-adj,lower,upper,reject
1.0,2.0,0.0537,0.9252,-0.2867,0.3942,False
1.0,3.0,-0.4171,0.0268,-0.795,-0.0393,True
2.0,3.0,-0.4709,0.026,-0.8957,-0.0461,True
