group1,group2,meandiff,p-adj,lower,upper,reject
1.0,2.0,0.0131,0.3195,-0.0084,0.0346,False
1.0,3.0,-0.0239,0.0495,-0.0477,-0.0,True
2.0,3.0,-0.037,0.004,-0.0638,-0.0102,True
