DV,Levene_stat,Levene_p,ANOVA_F,ANOVA_df1,ANOVA_df2,ANOVA_p,eta2,partial_eta2,Shapiro_W_resid,Shapiro_p_resid
analytic,1.7543,0.17853508560315645,3.592858609969903,2,96,0.03128088275735238,0.0696,0.0696,0.9788491524546928,0.1117129540933205
clout,1.8094,0.16929175186600448,0.030270514919095905,2,96,0.970192305447121,0.0006,0.0006,0.9877077231862647,0.4943346720963792
authentic,0.9579,0.38731927335219707,0.07552484204766129,2,96,0.9273117337216488,0.0016,0.0016,0.988446249814423,0.5490160339725889
tone,0.6185,0.5408892412224835,0.8426661707907313,2,96,0.43372053371970665,0.0173,0.0173,0.9148084158273747,8.29462301318991e-06
