Row ID,WC,Narrativity_Overall,Narrativity_Staging,Narrativity_PlotProg,Narrativity_CogTension,Peak_Staging,Peak_PlotProg,Peak_CogTension,Valley_Staging,Valley_PlotProg,Valley_CogTension,Staging_1,Staging_2,Staging_3,Staging_4,Staging_5,PlotProg_1,PlotProg_2,PlotProg_3,PlotProg_4,PlotProg_5,CogTension_1,CogTension_2,CogTension_3,CogTension_4,CogTension_5
11,1036,8.03,26.1,0.49,-2.48,4,2,1,2,4,5,45.7,0,88.24,100,58.82,38.37,100,5,0,0,100,91.55,9.15,64.08,0
12,109,5.72,-25.4,-50.26,92.83,3,1,2,1,3,1,0,0,100,80,42.86,100,50,0,16.67,4.76,0,100,100,100,0
13,217,20.68,56.33,16.9,-11.19,3,2,4,2,4,1,95.03,0,100,27.07,51.38,45.57,100,83.54,0,0,0,0,1.12,100,100
14,5124,6.01,44.63,-23.7,-2.9,5,1,1,4,5,3,50.99,48.44,48.44,0,100,100,84.68,8.07,60.17,0,100,95,0,80,10.23
15,5663,17.75,-27.86,18.9,62.21,5,4,4,1,2,1,0,57.47,86.2,45.1,100,33.98,0,71.24,100,61.61,0,15.36,80.62,100,69.26
16,946,6.13,73.88,20.16,-75.65,2,5,5,5,1,3,97.7,100,90.91,45.45,0,0,39.45,75.78,3.12,100,49.41,12.5,0,25,100
17,2416,-5.94,-12.27,-12.13,6.59,2,4,4,4,5,2,5.56,100,100,0,100,76.23,8.33,33.33,100,0,33.14,0,8.33,100,25
18,645,10.08,43.36,28.95,-42.06,5,3,4,2,4,3,33.33,0,25,66.67,100,23.08,92.31,100,0,30.77,75,25,0,100,100
19,1837,-11.6,53.43,-31.02,-57.21,2,5,1,4,2,2,64.37,100,11.91,0,47.64,74.78,0,55.01,43.01,100,100,0,9.54,0.42,18.65
20,1230,33.53,50.9,83.3,-33.62,4,5,1,2,1,2,85.71,0,14.29,100,0,0,31.25,56.25,93.75,100,100,0,100,60,100
21,2244,21.41,-14.47,73.2,5.51,2,3,3,1,1,4,0,100,6.25,18.75,13.98,0,41.67,100,66.67,51.21,66.67,88.89,100,0,44.87
22,1627,12.54,83.11,-36.66,-8.84,1,5,5,2,4,1,100,0,28.14,34.83,34.83,79.82,54.1,29.03,0,100,0,42.61,0.26,64.38,100
23,125,-33.63,-24.72,-34.66,-41.51,2,1,1,1,4,4,0,100,33.33,83.33,66.67,100,45.45,72.73,0,54.55,100,100,50,0,100
24,3168,-2.95,36.05,-18.26,-26.65,4,5,1,5,4,2,70.84,90.81,39.46,100,0,37.31,44.44,20.67,0,100,100,0,76.19,71.71,57.4
25,773,-3.61,6.12,-15.82,-1.13,3,4,2,4,3,3,27.15,77.58,100,0,39.48,67.93,27.17,0,100,52.14,57.14,100,0,86.64,72.26
26,3067,-32.82,-15.89,-50.18,-32.39,5,1,1,1,2,5,0,57.18,31.28,31.28,100,100,0,23.05,21.01,35.32,100,38.74,5.58,33.47,0
27,2197,6.08,17.58,6.49,-5.82,2,4,4,4,3,5,35.8,100,64.35,0,77.22,26.33,2.14,0,100,3.03,87.71,17.29,11.76,100,0
28,178,10.49,-3.4,-37.17,72.03,3,1,2,5,2,5,17.65,38.24,100,21.18,0,100,0,16.67,73.81,39.52,50,100,100,51.43,0
29,133,48.41,48.29,35.09,61.85,4,3,4,3,4,1,71.56,71.56,0,100,100,14.75,78.69,100,0,0,0,0,96.3,100,0
30,95,,,,
31,655,24.12,94.24,23.01,-44.89,1,4,1,5,3,2,100,66.67,25,25,0,16.67,66.67,0,100,16.67,100,0,22.22,44.44,33.33
32,58,,,,
33,74,,,,
34,801,33.44,48.12,46.43,5.77,4,2,2,2,1,1,65.13,0,26.67,100,40,0,100,81.57,20.14,50.86,0,100,20.59,0.74,80.15
35,134,27.14,23.98,27.39,30.05,5,3,5,2,4,1,23.64,0,47.27,23.64,100,20,60,100,0,6.15,0,0,96.3,96.3,100
36,1172,-11.69,9.81,-3.68,-41.21,4,2,5,5,4,3,35.59,72.93,12.5,100,0,63.48,100,81.5,0,89.65,36.02,63.17,0,18.18,100
37,5661,62.8,84.67,55.86,47.86,1,4,4,4,1,1,100,38.08,45,0,58.85,0,1.49,86.25,100,100,0,12.28,36.48,100,36.48
38,918,8.5,63.49,-30.36,-7.63,5,1,2,2,5,4,54.08,0,21.63,56.5,100,100,47.65,59.73,40.49,0,74.83,100,100,0,75.93
39,240,12.12,11.88,-6.42,30.91,3,5,4,2,3,1,28.57,0,100,42.86,28.57,50,80,0,60,100,0,33.33,0,100,33.33
40,247,46.5,55.62,24.99,58.89,5,3,3,3,5,1,63,63,0,66.67,100,33.2,52.8,100,20,0,0,0,100,100,25.37
41,100,12.61,38.02,-31.14,30.94,4,1,4,2,4,1,50,0,0,100,50,100,100,50,0,50,0,0,0,100,0
42,2916,41.85,54.67,29.07,41.82,4,5,2,3,1,1,93.19,5.56,0,100,5.56,0,63.22,74.53,12.29,100,0,100,53.43,40.12,66.74
43,136,-11.32,62.48,-34.52,-61.92,2,1,1,5,2,3,91.67,100,33.33,66.67,0,100,0,45.65,76.09,76.09,100,34.57,0,0,34.57
44,59,,,,
45,68,,,,
46,2729,-5.99,29.83,-22.93,-24.87,2,4,3,4,2,2,52.38,100,95.24,0,34.37,75.76,0,21.21,100,67.73,92.86,0,100,42.86,64.64
47,97,,,,
48,133,25.63,38.82,7.34,30.74,5,2,2,2,4,3,56.52,0,94.2,80.43,100,63.38,100,100,0,0,33.33,100,0,69.23,0
49,184,8.61,14.71,28.12,-16.98,3,2,1,2,5,2,33.33,0,100,66.67,40.74,13.88,100,13.88,48.33,0,100,0,0,100,2.78
50,345,13.85,59.11,-9.13,-8.43,1,3,1,2,5,5,100,0,100,66.67,100,75,37.5,100,25,0,100,50,50,50,0
51,1612,15.52,-26.97,21.42,52.13,4,5,4,5,1,1,5.72,78.82,73.33,100,0,0,30.42,26.26,28.8,100,0,55.12,33.65,100,55.77
52,221,7.98,40.59,-1.21,-15.43,5,4,4,4,5,2,47.41,66.67,33.33,0,100,65.33,40,30,100,0,97.78,0,0,100,0
53,5747,13.15,45.58,-21.96,15.82,5,3,1,3,2,5,66.28,76.79,0,91.23,100,97.35,0,100,55.34,63.46,100,72.69,91.1,54.66,0
