Row ID,WC,Narrativity_Overall,Narrativity_Staging,Narrativity_PlotProg,Narrativity_CogTension,Peak_Staging,Peak_PlotProg,Peak_CogTension,Valley_Staging,Valley_PlotProg,Valley_CogTension,Staging_1,Staging_2,Staging_3,Staging_4,Staging_5,PlotProg_1,PlotProg_2,PlotProg_3,PlotProg_4,PlotProg_5,CogTension_1,CogTension_2,CogTension_3,CogTension_4,CogTension_5
1,1847,-10.55,51.03,-40.99,-41.68,3,5,1,4,2,4,87.85,98.93,100,0,100,83.92,0,23.17,56.1,100,100,8.15,66.98,0,50.24
2,798,18.3,86.11,33.75,-64.95,1,5,5,5,1,2,100,52.2,62.83,37.41,0,0,52.29,23.24,47.38,100,74.36,0,24.79,50.12,100
3,883,-17.63,-24.19,-49.28,20.58,2,1,3,1,3,4,0,100,70.59,30.65,77.97,100,6.9,0,42.44,35.5,7.41,7.41,100,0,23.28
4,197,1.29,-27.28,-10.23,41.37,3,2,3,1,4,4,0,15.98,100,100,1.64,77.13,100,82.11,0,58.65,31.67,64.17,100,0,0
5,2786,24.99,72.2,-21.55,24.3,1,2,4,3,3,1,100,90.12,0,45.06,5.63,83.29,100,0,50,96.15,0,58.41,0.19,100,66.73
6,5705,-10.98,-10.23,0.39,-23.1,2,4,1,1,3,2,0,100,23.81,4.76,100,60.98,78.05,0,100,39.02,100,0,54.55,59.09,18.18
7,3433,15.97,52.12,27.18,-31.4,2,4,5,4,3,2,71.85,100,88.74,0,11.28,7.03,70.31,0,100,92.96,33.2,0,33.2,91.69,100
8,4827,-9.19,19.47,-8.21,-38.81,3,4,1,4,3,2,35.17,27.18,100,0,36,60.12,24.04,0,100,11.11,100,0,37.72,21.04,12.69
9,1438,-6.74,15.78,-41.04,5.03,2,1,1,3,4,5,33.33,100,0,48.34,55.03,100,42.89,56.07,0,52.9,100,68.74,56.23,62.75,0
10,2698,12.45,49.8,-18.58,6.13,2,5,3,5,2,2,68.08,100,25.51,47.98,0,29.54,0,35.87,6.98,100,62.5,0,100,37.82,6.52
